Question,Distribution,Pooled_Mean,Pooled_Median,Hard_Union_LPP,Hard_Union_HPP,Mixture_5th,Mixture_95th,N_Participants,Lambda,Nsim
2a,Moment-matched Beta,0.19667489988710815,0.1385582849304713,0,1,0.004297558333930226,0.5846256378627174,10,5,10000
2a,Mixture,0.19667489988710815,0.13379963796884986,0,1,0.0032766648958796733,0.5619208741169806,10,5,10000
