Variable name,Variable description,Unit,Dim1,Dim2,Dim3,Dim4,Domain,History start,History end,Forecast start,Source/Comment,Summary,Detailed,Aggregation
PRSCX,Price levels (2010=100) from E3ME,index,RTI,,,TIME,FTT-P,-,-,2010,From E3ME results,Y,Y,mean
PRSC15,Price levels in 2015 (2010=100),index,RTI,,,TIME,FTT-P,-,-,2001,-,Y,Y,mean
RPOP,Population by age and gender,Thousands,RTI,,,TIME,General,1970,-,2001,-,,Y,
PFRE,Price of electricity use [E3ME],euros/toe,RTI,FUTI,,TIME,General,-,2016,2010,From E3ME results,,Y,
PFRC,Price of coal use [E3ME],euros/toe,RTI,FUTI,,TIME,General,-,2016,2010,From E3ME results,,Y,
PFRO,Price of heavy oil use [E3ME],euros/toe,RTI,FUTI,,TIME,General,1970,2016,2010,From E3ME results,,Y,
PFRM,Price of middle distillates [E3ME],euros/toe,RTI,FUTI,,TIME,General,-,2016,2010,From E3ME results,,Y,
PFRB,Price of biofuel use (incl taxes) [E3ME],euros/toe,RTI,FUTI,,TIME,General,-,2016,2010,From E3ME results,,Y,
PFRH,Endogenous energy price with tax [E3ME],euros/toe,RTI,FUTI,,TIME,General,1970,2016,2010,From E3ME results,,Y,
PRSC13,Price levels in 2013 (2010=100),index,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,mean
MWMC,FTT:Power marginal costs,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MWLO,FTT:Power optimal/initial load factors,%,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MWKA,FTT:Power exogenous capacity levels (GW),GW,RTI,T2TI,,TIME,FTT-P,-,-,2010,-,,Y,mode
coal phaseout,Switch for a coal phase-out,,,,,,FTT_P,-,-,-,-,-,Y,
MWIY,FTT:Power yearly investment,meuros2010,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MWICX,Exogenous FTT:Power investment cost component,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2010,-,,Y,mean
MWIC,FTT:Power investment cost component,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MWFCX,Exogenous FTT:Power fuel cost component,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2010,-,,Y,mean
MWFC,FTT:Power fuel cost component,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MWDT,Matrix of tech top load band NETxNLB,na,,T2TI,LBTI,,FTT-P,-,-,2001,-,,Y,no
MWDD,Matrix of load band tech suitability NETxNLB,na,,T2TI,LBTI,,FTT-P,-,-,2001,-,,Y,no
MTCD,METC standard deviation,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MSSR,FTT:Power short-term storage raw costs (2013$/GWh),2013$/GWh,RTI,,,TIME,FTT-P,,,2001,,,Y,mean
MSSPX,Exogenous MSSP (from E3ME run),$2013/GWh,RTI,T2TI,,TIME,FTT-P,-,-,2010,From E3ME results,,Y,mean
MSSP,FTT:Power short-term storage costs (2013$/GWh) ,$2013/GWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MSSMX,Exogenous MSSM (from E3ME run),$2013/GWh,RTI,T2TI,,TIME,FTT-P,-,-,2010,From E3ME results,,Y,mean
MSSM,FTT:Power short-term storage marginal costs (2013$/GWh),$2013/GWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MSSI,FTT:Power short-term storage investment (2010 mEuro),meuros2010,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MSSG,FTT:Power short-term storage additional electricity demand (GWh/y),GWh,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,sum
MSSF,FTT:Power short-term storage load factor (-),%,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,mean
MSSE,Short-term storage round-trop efficiency,%,RTI,,,TIME,FTT-P,,,2011,,,Y,mean
MSSC_histend,FTT:Power short-term storage capacity (GW) in 2020,GW,RTI,,,TIME,FTT-P,-,2023,2001,-,,Y,
MSSC,FTT:Power short-term storage capacity (GW),GW,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,sum
MSRV,FTT:Power survival function (Created inside code),%,RTI,T2TI,TYTI,,FTT-P,-,-,2001,-,,Y,mean
MSLB,FTT:Power shares of capacity by tech x load band,na,RTI,T2TI,LBTI,TIME,FTT-P,-,-,2001,-,,Y,mean
MSCC,Short-term storage levelised cost estimate,2013$/GWh,RTI,,,TIME,FTT-P,,,2013,,,Y,mean
MSAL,"Switch for storage cost and investment allocation (0=No, 1=G, 2=C, 3=M)",na,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,mode
MRES,Fossil reserves and REN remaining technical potentials (PJ),PJ,RTI,ERTI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MRED,Natural resources and REN full technical potentials (PJ),PJ,RTI,ERTI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MPTR,Extraction rate of resources,na,RTI,ERTI,,TIME,FTT-P,-,-,2010,From E3ME results,,Y,mean
MMCD,FTT:Power standard deviation of marginal costs,$2013/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MLSR,FTT:Power long-term storage raw costs (2013$/GWh),2013$/GWh,RTI,,,TIME,FTT-P,,,,,,Y,mean
MLSP,FTT:Power long-term storage costs (2013$/GWh),$2013/GWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MLSM,FTT:Power long-term storage marginal costs (2013$/GWh),$2013/GWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MLSI,FTT:Power long-term storage investment (2010 mEuro),meuros2010,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MLSG,FTT:Power long-term storage additional electricity demand (GWh/y),GWh,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,sum
MLSF,FTT:Power long-term storage load factor (-),%,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,mean
MLSE,Long-term storage round-trip efficiency,%,RTI,,,TIME,FTT-P,,,2010,,,Y,mean
MLSC_histend,FTT:Power long-term storage capacity (GW) in 2020,GW,,,,TIME,FTT-P,-,-,2001,-,,Y,
MLSC,FTT:Power long-term storage capacity (GW),GW,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,sum
MLLB,FTT:Power load factors (%) by tech x load band,%,RTI,T2TI,LBTI,TIME,FTT-P,-,-,2001,-,,Y,mean
Gen_by_lb,Generation by technology and load band,GWh,RTI,T2TI,LBTI,TIME,FTT-P,-,-,2001,-,,Y,
MLCC,Long-term storage levelised cost estimate,2013$/GWh,RTI,,,TIME,FTT-P,,,2012,,,Y,mean
MLBP,FTT:Power Maximum marginal costs per load band (serves as the price),,RTI,LBTI,,TIME,FTT-P,,,2001,,,Y,mean
MLB1,Normalised residual load band heights (-),%,RTI,LBTI,,TIME,FTT-P,,,2001,,,Y,mean
MLB0,Cumulative residual load band heights (-),%,RTI,LBTI,,TIME,FTT-P,,,2001,,,Y,mean
MKLB,Capacity by load band,GW,RTI,LBTI,,TIME,FTT-P,-,-,2001,-,,Y,sum
FRET,Energy supply,ktoe,RTI,FUTI,,TIME,FTT-P,-,-,2010,,,Y,
MJET,FTT:Power technology to fuel use conversion matrix excl CCS,na,,T2TI,JTI,,FTT-P,-,-,2001,-,,Y,no
MJEP,FTT:Power marginal cost of fuels,$2013/MWh,RTI,JTI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MJEF,FTT-P Final energy consumption (ktoe),ktoe,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MJCO,FTT:Power fuel use that produces emissions incl CCS,ktoe,RTI,JTI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MGLB,Generation by load band,GWh,RTI,LBTI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MEWW,FTT-P Cumulative global capacity (GW),GW,,T2TI,,TIME,FTT-P,-,2013,2001,-,,Y,no
MEWT,FTT-P Upfront subsidies (%),%,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEWS,FTT:Power shares of capacity by tech,na,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEWR,FTT-P regulations on capacity,GW,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mode
MEWP,FTT:Power marginal costs of fuels ($2013/GJ),$2013/GJ,RTI,JTI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEWL,FTT:Power load factors (%),%,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEWK,FTT-P Capacity by technology (GW),GW,RTI,T2TI,,TIME,FTT-P,-,-,2010,-,Y,Y,sum
MEWI,FTT-P Installed capacity additions (GW),GW,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MEWG,FTT-P Generation by technology (GWh),GWh,RTI,T2TI,,TIME,FTT-P,-,2022,2001,-,Y,Y,sum
MEWE,FTT:Power CO2 emissions,MtCO2/y,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MEWDX,Exogenous demand for energy resources,PJ,RTI,JTI,,TIME,FTT-P,-,-,2010,From E3ME results,,Y,sum
MEWD,FTT:Power demand for fuels (PJ),PJ,RTI,JTI,,TIME,FTT-P,-,-,2010,-,,Y,sum
MWDL,FTT:Power lagged demand,PJ,RTI,JTI,,TIME,FTT-P,,,2010,-,,Y,sum
FR08,Exogenous electricity demand,ktoe,RTI,FUTI,,TIME,General,-,-,2003,From E3ME results,,Y,
MEWC,"LCOE bare, no policies, no carbon cost (2013$/MWh)",USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEWB,Spillover learning matrix,%,,T2TI,T2TI,,FTT-P,-,-,2001,-,,Y,no
MEWA,Substitution matrix,rate,RTI,T2TI,T2TI,,FTT-P,-,-,2001,-,,Y,mean
PMF,Prices of import groups (2010=1),$,,MTI,,TIME,General,-,-,2010,From E3ME results,,Y,
RERY,Primary energy supply before trade,PJ,RTI,ERTI,,TIME,General,-,-,2010,From E3ME results,,Y,sum
DPAR,Forecast of population groups,th person,RTI,DPTI,,TIME,General,-,-,2010,From E3ME results,,Y,
METC,"LCOE (as seen by investors) incl carbon price, subsidies, FiT (2013$/MWh)",USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MLCO,Levelised costs of operation,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,
MESC,FTT:Power cost of early scrapping power equipment,meuros2010,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MES2,FTT:Power market share limitation 2,na,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MES1,FTT:Power market share limitation 1,na,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MERC,FTT Resource prices or costs (2013$/GJ or 2013$/MWh),2013$/GJ or 2013$/MWh,RTI,ERTI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEPD,FTT:Power total primary energy demand by resource type (PJ),PJ,RTI,ERTI,,TIME,FTT-P,-,-,2001,-,,Y,sum
MELO,"Electricity demand residual (due to imports, losses, ets.)",GWh,RTI,,,TIME,FTT-P,-,-,2001,-,,Y,sum
MELF,FTT:Power lifetime of power equipment,y,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEKA,FTT:Power age-tracking matrix of existing capacity,GW,RTI,T2TI,TYTI,TIME,FTT-P,-,-,2001,-,,Y,sum
MEFI,FTT:Power feed-in-tariffs,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MECW,"LCOE bare, no policies, with carbon cost (2013$/MWh)",USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MECW battery only,"LCOE bare, no policies, only battery costs",USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,
MECS,LCOE incl. carbon price incl subsidies no FiT (2013$/MWh),USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MECD,MEWC standard deviation,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MECC,LCOE (for price) no carbon price incl subsidies incl CF (2013$/MWh),USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MECC incl CO2,LCOE (for price) including all policies (2013$/MWh),USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,
MECC only CO2,LCOE (for price) including all policies (2013$/MWh),USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,
MEC6,TLCOE load band 6,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEC5,TLCOE load band 5,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEC4,TLCOE load band 4,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEC3,TLCOE load band 3,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEC2,TLCOE load band 2,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MEC1,TLCOE load band 1,USD/MWh,RTI,T2TI,,TIME,FTT-P,-,-,2001,-,,Y,mean
MCTN,FTT:Power Net curtailment rate by technology (-),%,RTI,T2TI,,TIME,FTT-P,,,2001,,,Y,mean
HJET,FTT-Heat Tech to fuel conversion matrix,,,HTTI,JTI,,FTT-H,,,,,,,
HJFC,FTT-Heat Fraction of energy use for heating in households,,RTI,JTI,,,FTT-H,,,,,,,
HEWA,FTT-Heat Substitution matrix,,,HTTI,HTTI,,FTT-H,,,,,,,
HEWB,FTT-Heat Technology spill-over matrix,,,HTTI,HTTI,,FTT-H,,,,,,,
HEWW,FTT-Heat Global cumulative investment,GW,,HTTI,,TIME,FTT-H,,2014,2014,,,,
HFIN,FTT-Heat Interest rates,%,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
HFFC,FTT-Heat Fuel price rates,%,RTI,JTI,,TIME,FTT-H,,,2001,,,,
HEWF,FTT-Heat Final energy demand for heat generation,GWh/y,RTI,HTTI,,TIME,FTT-H,,2020,1990,,Y,Y,
RHUD,FTT-Heat Useful energy demand,GWh/y,RTI,,,TIME,FTT-H,,,2001,,,,
HTVS,FTT-Heat Subsidy on investment cost,%,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
HTRT,FTT-Heat Subsidy/tax on fuel use,%,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
HREG,FTT-Heat Regulations on heating technologies,,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
HWSA,FTT-Heat Exogenous market share changes,%,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
HP mandate,FTT-Heat,heat pump mandate info,RTI,MAN,,,FTT-H,,,,,,,
HEFI,FTT-Heat Feed-in-tariff,%,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
HETR,FTT-Heat Turn-over rate,%,RTI,HTTI,,TIME,FTT-H,,,2001,,,,
BHTC,FTT-Heat Cost matrix,,RTI,HTTI,C4TI,,FTT-H,,,2014,,,,
HEWG,FTT-Heat Useful heat by boiler,GWh,RTI,HTTI,,TIME,FTT-H,,,2014,,Y,Y,
HEWE,FTT-Heat Emissions,Mt,RTI,HTTI,,TIME,FTT-H,,,2014,,Y,Y,
HJHF,FTT-Heat Fuel use for heating,GWh,RTI,JTI,,TIME,FTT-H,,,2014,,Y,Y,
HEWP,FTT-Heat Price rates by boiler,,RTI,HTTI,,TIME,FTT-H,,,2010,,,,
