Question,Distribution,Pooled_Mean,Pooled_Median,Hard_Union_LPP,Hard_Union_HPP,Mixture_5th,Mixture_95th,N_Participants,Lambda,Nsim
1a,Moment-matched Beta,129.0634005923857,113.59650779044891,0,500,20.510354489675265,290.85765359178725,10,5,10000
1a,Mixture,129.0634005923857,109.11761959919512,0,500,17.42292084604675,273.4206306866895,10,5,10000
